image_name,angles,polygon_angles
stars-678.png,"[10.398560390333445, 46.04526292778961, 30.18031399587311, 77.69893060933258, 89.36575528557388, 114.35473225272409]","[118.90906712004514, 82.47521605728129, 125.56026209083686, 33.055454731836726, 24.593172374674527, 59.02395351111945, 69.06645678765932, 103.49723792410425]"
stars-1929.png,"[21.250365446021252, 16.78985855841065, 61.71655593324935, 58.70357519176256, 13.938722622733648, 61.926804957999394]","[114.97643122961165, 65.25607005727956, 44.860339631840496, 4.860021540491644, 163.4657524022227, 32.245449914281814, 141.82136831345716, 22.46742937003832]"
stars-1861.png,"[7.485961995698208, 75.64037641809115]","[118.36485742935574, 129.78955699303722, 89.85663341319686, 21.98895216441015]"
stars-1821.png,"[59.707090612341844, 41.538995875386114, 75.54636837933273, 0.4080826970725681, 8.373309958442606, 150.99935687528054]","[1.3480411972592157, 168.45909949659136, 126.33586456689193, 43.47127612695805, 26.164316677697897, 36.96834390551626, 14.747072746997647, 48.38558783621651]"
stars-335.png,"[9.349801183173946, 4.4806604827664005, 123.25631560963028, 22.395446962740156, 112.90141970458453, 82.48031995334833]","[129.0938588862295, 47.74495589383813, 144.97939979158423, 38.18178542834812, 91.03947560300105, 39.42085937702045, 76.8668599407975, 25.248243714816912]"
stars-1853.png,"[72.01772316565501, 36.56226943396103, 96.16774282692548, 21.431733916079246, 31.383348758061462]","[63.40960001947069, 119.05516261912892, 153.21305763457363, 24.322179726826768, 90.18415478908489, 57.55162826148024, 32.264216949434875]"
stars-724.png,"[109.76063136762227, 20.23422454705607, 137.33557001037812, 35.7337975709988, 11.487181033141546]","[49.75639270642448, 151.94318385564966, 50.63651922780324, 51.55027192142198, 24.22456451634122, 8.552018216416517, 147.2234172672423]"
stars-177.png,"[100.74789151593207, 40.03502386687604, 87.77235916134563, 155.57778643529235, 145.5038778845215, 123.75019594591747]","[86.14749032969438, 103.92513021484237, 86.43793092119004, 83.48944853427322, 106.26270883975475, 87.77235916134563, 95.48448328141403, 70.4804487174856]"
stars-2575.png,"[141.12348848168597, 110.45091303739352, 32.89258791866865, 32.34717532957402, 42.807420882704484, 3.1181110581233598]","[18.04700489829555, 92.74928032253725, 33.477023545658376, 41.225251878583315, 21.348905816824924, 7.207512962979465, 3.1181110581233598, 25.438307721681067]"
stars-2182.png,"[99.77216264840175, 30.0186208274828, 39.63759085721539, 77.8626176582162, 53.80402914354289, 14.124998694955432]","[131.01863701397323, 138.44979441065004, 2.1454630159347725, 9.576620412611506, 59.59840593774103, 27.887039728858483, 22.34198111239506, 9.369385096487477]"
stars-2079.png,"[63.95165989197063, 14.66047338518044, 91.13998382612773, 45.60735300480953, 155.83721585547258, 91.24536426676835]","[20.937285274274643, 127.73402185792118, 155.83721585547258, 55.49147701233161, 95.8307421925395, 173.38461231851792, 6.756023487905439, 70.79784663807297]"
stars-2005.png,"[113.78474554131023, 74.16517986943833, 34.80735068633081, 30.666927367346172, 112.42974903965934, 118.47185127688553]","[161.74801137984014, 113.78474554131023, 74.16517986943833, 10.30206320941132, 16.7599949806448, 112.42974903965934, 118.47185127688553, 112.33840470281035]"
stars-1380.png,"[5.717900191064311, 167.80458095549412, 9.811344605828197, 59.49289175137474]","[177.37759853945883, 7.5969289828997875, 148.13884485483152, 21.641824701727565]"
stars-2028.png,"[49.24121122427915, 56.60735294220513, 17.35371482663339, 91.45145498584988, 104.92860251825668, 16.18333441747181]","[119.54630275946025, 137.17025621258026, 42.13288132897433, 61.150559698985184, 39.2208064913013, 26.848791663758764, 33.70279931494189, 32.366798840118165]"
stars-1915.png,"[146.63726811665506, 167.13049765137373, 76.0081116844384, 30.48269209611368]","[22.948721023918914, 146.63726811665506, 170.549713456016, 19.864297403410006]"
stars-1541.png,"[26.042171166269277, 163.380323140011, 87.2556652076973, 3.599432188569431, 15.21764599452686, 77.073411926153]","[59.97252465546319, 77.36562731827858, 163.380323140011, 26.042171166269277, 82.15179342543745, 20.29602749381131, 77.073411926153, 15.21764599452686]"
stars-1913.png,"[49.44060865166232, 35.19494050479298, 98.30743208077662]","[27.97189350271698, 168.01405769218468, 83.95229375827734, 56.08987043119029]"
