image_name,angles,polygon_angles
stars-1685.png,"[31.882355562685795, 53.001924090332444, 21.245611638781412, 97.80899246029573, 17.374037132657794]","[60.68299503687866, 143.2558887152167, 89.44622904061619, 66.61488720728845, 7.3012427197992675, 3.1166130294676213, 169.58214425073334, 0]"
stars-2105.png,"[49.248891990034274, 114.3325286682417, 2.8896914673263403]","[38.09035255360789, 79.71570223551085, 173.4119788675567, 68.78196634332456, 0, 0, 0, 0]"
stars-2492.png,"[23.107248272144673, 24.6797391389751, 5.297551759094953, 101.44163400983102]","[96.75329761977922, 60.25550974121324, 22.991192639007558, 0, 0.0, 0.0, 0, 0]"
stars-992.png,"[39.02374872082631, 63.760847528825416, 30.277778065895927, 73.96788562389644, 61.29889079123061, 55.14473445301627]","[55.14473445301627, 107.19482998134391, 136.3615447744092, 61.29889079123061, 66.47836595995817, 78.02116986903472, 147.0909057592383, 68.40955841176883]"
stars-1337.png,[],"[0, 0, 0, 0, 0, 0, 0, 0]"
stars-1150.png,"[60.44770883323079, 127.16175336715638, 25.687605447107327, 58.296309361541155, 6.373572321028302, 83.37955173537384]","[52.13942351419501, 67.68260268229503, 119.29533271200788, 120.8826410915021, 27.5925388070744, 60.81408418388994, 127.3631557816081, 144.23022122742756]"
stars-1264.png,"[134.0401951598547, 115.84009284056545, 13.293936017708024, 86.18022246821953, 141.49458991215897, 109.10519184163367]","[65.47003567421902, 112.07782388194799, 140.8084625685635, 41.64367787526951, 50.30860906301262, 60.351238987700576, 69.3401519492868, 0]"
stars-2583.png,"[62.76437428572004, 87.39204323357919, 20.180081431936692, 74.47298743342077]","[41.395518846437405, 121.64978470655984, 41.90344679597512, 155.05124965102766, 0, 0, 0, 0]"
stars-1931.png,"[49.583401658990894, 107.79185900621087, 19.695252669425617, 56.631084063273185, 57.207656119898544, 51.63576876288945]","[45.97948705541296, 107.63020135508813, 128.95842612254992, 77.431885466949, 46.05777824776517, 71.75638764452252, 62.18583410771231, 0]"
stars-2001.png,"[36.176615390160556, 29.833488656441578, 105.87704427272983, 46.058733723202785, 9.646776001355457, 137.37559726667413]","[51.774550324921314, 120.97112766023471, 122.83346622453432, 64.42085579030967, 120.12123227133311, 53.90623524308937, 83.09753092596505, 102.87500155961249]"
stars-2226.png,"[39.27237703058425, 142.41372689147465, 91.68614926472308, 117.13794647649547]","[61.11356466175441, 99.46115599251078, 161.5476979534563, 37.87758139227856, 0, 0, 0, 0]"
stars-2559.png,"[109.91747216556719, 54.293440025149316, 45.055584152966155, 83.30706930640666, 104.20374960539769, 78.03030130789055]","[44.47382906183928, 126.35412884709633, 160.50571424282347, 28.666327848240915, 38.72829529632823, 105.44605589325997, 39.382419409873165, 176.44322940053868]"
stars-328.png,[13.326052463432848],"[13.326052463432848, 47.47194557941991, 119.20200195714723, 0, 0, 0, 0, 0]"
stars-2095.png,"[25.59586138342818, 89.89944590963684, 66.1226247724391, 63.508061219878165, 14.236579157060325, 60.59644237513115]","[24.232681335936594, 82.01747176770635, 171.50185780193254, 82.24798909442454, 53.48358118016989, 52.51186837134614, 76.21414124091577, 177.79040920756847]"
stars-2155.png,"[50.61433110901134, 104.24113998027248, 10.48454271599065, 1.0851967186045959, 96.56293238458449, 132.92052485920016]","[55.322388406135424, 75.19415435007997, 132.92052485920016, 96.56293238458449, 78.78688468158037, 75.22270133872543, 51.15048979001344, 154.83992418968077]"
stars-268.png,"[138.71026719006923, 143.655649876984, 100.69037528329093, 115.63804049346177, 100.85589593120386]","[49.69243038200631, 143.655649876984, 138.71026719006923, 27.941652550940475, 20.757243998733745, 100.85589593120386, 58.3868600700624, 0]"
stars-203.png,"[8.827059178357842, 177.56806259490602, 8.148687495258988]","[10.522113477239657, 25.176581887563938, 144.30130463519635, 0, 0.0, 0.0, 0, 0]"
stars-1696.png,"[53.49469074464715, 12.699198958560705, 6.091966749148672, 14.144389393693114, 38.36965305206363, 175.49613630703803]","[74.00057056740607, 74.27657504309448, 66.37161247127815, 145.3512419182213, 24.185807797874475, 118.19642693307782, 42.71170475129659, 174.90606051775111]"
stars-1214.png,"[20.41881765678743, 55.94093299205633, 58.06247129542893, 10.659861826442869, 166.41563632081727]","[65.15203999339515, 72.89655597569727, 169.52670697818257, 52.424697052725044, 40.97667079499721, 95.11287905657281, 43.91045014843001, 0]"
stars-690.png,"[14.629994918148164, 12.355834081343218, 60.751173663453024, 133.86182299251183, 3.2200509402442776, 8.615396986200043]","[16.07005963453211, 146.99366090092283, 98.0732048758252, 98.86307458871988, 96.21781734952125, 20.756848150220762, 127.93665183299309, 115.08868266726489]"
stars-1130.png,"[66.33549420464682, 12.459425179807473, 117.58265223942281, 73.93651624633027, 62.0122302700721, 149.37681793575643]","[39.448784256717694, 109.16216753745375, 149.37681793575643, 62.0122302700721, 93.02966828388732, 53.08668002104216, 143.1102622878996, 70.77338940717097]"
stars-464.png,"[35.38390826162992, 37.37097612145244, 54.5567744225979, 54.26055912318836, 77.38652260515035, 57.05944326885183]","[63.89685953841672, 99.25605534619156, 149.5457317158968, 47.30135339949495, 100.37319809695904, 79.84609574337337, 151.5230553212151, 28.25765083845247]"
stars-1513.png,"[51.77759524997478, 78.35054531795433, 158.01703087073918, 0.45943013650084213]","[41.37150470093954, 84.67653669628757, 53.951958602772905, 0, 0.0, 0.0, 0, 0]"
stars-299.png,"[80.71089258695062, 53.02450530852586, 10.821775946588499, 20.56588073578244, 39.772212776778424, 20.52877139526787]","[111.4569415853059, 63.22622195206275, 107.25068001876551, 78.06615644386585, 80.71089258695062, 53.02450530852586, 48.611476397010804, 177.6531257075127]"
stars-883.png,[],"[0, 0, 0, 0, 0, 0, 0, 0]"
stars-1334.png,"[11.669089925946187, 64.70367037672735, 16.655259678906894, 1.8996574769250836, 76.61380331178476, 74.9845082684631]","[67.22875753563895, 89.5114017106828, 120.78994418599451, 82.46989656768376, 70.03001471876776, 61.91394802481244, 145.52808668404543, 82.52795057237441]"
stars-1495.png,"[39.89418006057492, 43.24483424969662, 35.64356130857389, 10.191989475758136, 50.667181433318575, 66.9277750178734]","[22.659713330665525, 155.45262458762141, 168.81997718957888, 13.06768489213415, 89.97793163658201, 91.28509681236041, 127.30594622454365, 51.43102532651393]"
stars-131.png,"[3.450675899965428, 25.719752922249114, 7.664935577384824, 25.911187594013537, 5.993471047166413, 5.470626673277407]","[23.87059987358101, 142.74397509614133, 66.51420706711309, 126.87121796316457, 18.008437250807738, 34.51276649080928, 127.47879625838297, 0]"
stars-1246.png,"[37.17806840771662, 66.91749528891009]","[77.72511168244338, 35.35739302864655, 66.91749528891009, 0, 0, 0, 0, 0]"
stars-1654.png,"[178.21008939175394, 23.944825082573914, 43.43516347948718, 59.60636972975013, 82.34705726948242, 54.59054463530066]","[39.3778525982555, 156.79335365200745, 110.87261913951308, 52.956174610223975, 78.24607605537865, 79.14168920356592, 31.195856221169393, 171.41637851988608]"
stars-2461.png,"[79.71050719866953, 20.649993886141196, 43.124011105719426, 22.993035287816408, 73.5215085461591, 60.94797741207302]","[53.2979285244855, 104.16459272156303, 153.3990379661307, 49.1384407878208, 111.80382903587194, 27.784116786085594, 150.4669443157914, 69.9451098622511]"
stars-1928.png,[64.91077899604544],"[5.054354453212554, 64.91077899604544, 110.03486655074202, 0, 0, 0, 0, 0]"
