image_name,angles,polygon_angles
stars_302.5_52.5001.png,"[118.19111119023617, 41.98359387214629, 89.9401298237621, 148.45285306192423, 96.2177470388411, 37.69589705244951]","[51.55670832116429, 45.73286315427439, 163.96687670665605, 98.74355181790527, 2.99095028367353, 87.0689198925642, 89.9401298237621, 0]"
stars_162.5_72.5001.png,"[169.72740861105774, 0.7507057880083202, 85.05733167080088, 1.2448824361083677, 40.44734893392184, 95.87401708074663]","[95.87401708074663, 115.13834007419943, 108.54029391113212, 40.44734893392184, 9.913052833729681, 137.8667415448436, 32.220205621426786, 0]"
stars_37.5_22.5001.png,"[52.125016348901795, 70.84656304073893, 101.02917694010199, 32.59075937129797, 29.24624158113617, 56.972657243223416]","[61.403816508341066, 97.03481636571144, 153.16657114902367, 48.39479597692385, 104.56948765307027, 80.47296341610065, 94.91215587438478, 80.04539305644431]"
stars_217.5_-7.5001.png,"[132.22561223501472, 6.259469100082703, 127.37055841964838]","[132.22561223501472, 19.963721748140113, 179.7256452908519, 28.085020725993175, 0, 0, 0, 0]"
stars_82.5_77.5001.png,"[149.76324872455132, 84.20720350496785, 125.27978405193915, 25.053500741114405, 42.44140766385532, 80.0723743294387]","[26.6152577708812, 82.28363371384499, 169.82448915695682, 81.27661935831702, 60.23081461787952, 81.02495315251836, 87.37187454242377, 131.37235768717835]"
stars_102.5_32.5001.png,"[157.8617205208432, 36.95620692891089, 23.644425471542366, 30.06596840728264, 35.88065143094341, 74.57783868126133]","[58.13997283087785, 87.26630505362311, 157.8617205208432, 56.73200159465588, 42.4645702954238, 99.24252479815786, 72.12625635880686, 146.16664854761152]"
stars_2.5_-57.5001.png,"[80.0018861819693, 62.91630165807781, 31.457503027676633, 64.16666118598384, 33.8740347908928, 82.48418485602203]","[56.25543156727537, 47.56009353891889, 89.84417161084721, 166.34030328295853, 45.524037679412245, 120.86268082449985, 41.35511129278615, 152.25817020330175]"
stars_122.5_37.5001.png,"[130.4225037866182, 145.5056996208301, 110.87642345078552, 72.21720666361527, 30.362816771467738, 120.13409090834202]","[45.67502434623385, 116.56800183005267, 163.90433618526902, 33.852637638444456, 12.444628048251493, 33.01708618767669, 145.5056996208301, 169.03258614324173]"
stars_332.5_-87.5001.png,"[73.11201309382959, 111.12163622063515, 4.377173036543308, 38.29539196720603, 77.97975739624155, 100.32546866939342]","[67.1549250005673, 108.28654653139512, 163.29026882460622, 21.26825964343134, 29.826563803875672, 92.78119591733748, 83.47995466745073, 153.91228561133613]"
stars_27.5_27.5001.png,"[57.11186355669879, 85.56356448360091, 37.617880207658644, 79.52456371866054, 68.75464373568886, 79.57273453173218]","[55.120760280210995, 99.00850374202516, 145.5112928087268, 60.359443169037036, 72.66060609648284, 69.26115449661391, 38.07823940690325, 0]"
stars_197.5_-7.5001.png,"[58.240519915187214, 43.0107870232787, 53.41045419345268, 79.71249204262702, 120.11905249694226, 109.74019164858123]","[58.88909107152371, 109.74019164858123, 120.11905249694226, 71.25166478295282, 47.60212473663297, 33.01362133460105, 162.21611155730744, 117.16814237145853]"
